transaction_id,merchant_id,date,amount_sar,financed,term_days,days_to_repay,status
T-003075,M-1042,2025-09-07,11299,1,30,18,on_time
T-003774,M-1052,2025-09-07,4686,1,21,16,on_time
T-003994,M-1056,2025-09-07,5703,0,,,cash
T-000005,M-1001,2025-09-08,31932,0,,,cash
T-000776,M-1009,2025-09-08,31576,0,,,cash
T-001315,M-1015,2025-09-08,30499,0,,,cash
T-001745,M-1021,2025-09-08,32745,0,,,cash
T-002251,M-1028,2025-09-08,26240,1,30,24,on_time
T-002476,M-1031,2025-09-08,17575,1,30,23,on_time
T-003580,M-1049,2025-09-08,17990,1,21,19,on_time
T-003714,M-1051,2025-09-08,8094,1,21,32,late
T-003995,M-1056,2025-09-08,7421,1,21,45,late
T-000106,M-1002,2025-09-09,22796,1,30,21,on_time
T-000592,M-1007,2025-09-09,36257,1,30,23,on_time
T-001669,M-1020,2025-09-09,8995,1,30,27,on_time
T-001742,M-1021,2025-09-09,11099,1,30,17,on_time
T-002757,M-1036,2025-09-09,12686,1,30,36,late
T-002865,M-1038,2025-09-09,20211,1,30,18,on_time
T-002967,M-1040,2025-09-09,10501,1,30,21,on_time
T-003644,M-1050,2025-09-09,9036,1,21,13,on_time
T-003772,M-1052,2025-09-09,9359,1,21,11,on_time
T-003822,M-1053,2025-09-09,6883,0,,,cash
T-000205,M-1003,2025-09-10,96815,1,30,30,on_time
T-000389,M-1005,2025-09-10,13531,0,,,cash
T-001061,M-1012,2025-09-10,27940,1,30,17,on_time
T-001310,M-1015,2025-09-10,14105,1,30,19,on_time
T-001524,M-1018,2025-09-10,10262,1,30,15,on_time
T-002255,M-1028,2025-09-10,11367,1,30,30,on_time
T-003203,M-1044,2025-09-10,14302,1,21,38,late
T-003210,M-1044,2025-09-10,12956,0,,,cash
T-003363,M-1046,2025-09-10,12375,1,21,16,on_time
T-003439,M-1047,2025-09-10,14900,1,21,7,on_time
T-003506,M-1048,2025-09-10,21421,0,,,cash
T-003643,M-1050,2025-09-10,10803,1,21,,default
T-003771,M-1052,2025-09-10,11134,1,21,24,late
T-003938,M-1055,2025-09-10,6294,1,21,9,on_time
T-000100,M-1002,2025-09-11,41860,1,30,30,on_time
T-000391,M-1005,2025-09-11,18448,1,30,17,on_time
T-000495,M-1006,2025-09-11,18380,0,,,cash
T-000771,M-1009,2025-09-11,28929,0,,,cash
T-000868,M-1010,2025-09-11,38147,0,,,cash
T-001166,M-1013,2025-09-11,12707,1,30,51,late
T-001455,M-1017,2025-09-11,24370,1,30,22,on_time
T-001674,M-1020,2025-09-11,14223,0,,,cash
T-002178,M-1027,2025-09-11,27801,1,30,24,on_time
T-003434,M-1047,2025-09-11,5640,1,21,45,late
T-003509,M-1048,2025-09-11,12417,1,21,16,on_time
T-003642,M-1050,2025-09-11,9491,1,21,8,on_time
T-003718,M-1051,2025-09-11,6433,1,21,,default
T-003880,M-1054,2025-09-11,16305,1,21,26,late
T-000006,M-1001,2025-09-12,22368,1,30,22,on_time
T-000388,M-1005,2025-09-12,15149,1,30,27,on_time
T-000961,M-1011,2025-09-12,14487,0,,,cash
T-002098,M-1026,2025-09-12,15052,1,30,24,on_time
T-002176,M-1027,2025-09-12,17517,1,30,18,on_time
T-002320,M-1029,2025-09-12,10002,0,,,cash
T-002323,M-1029,2025-09-12,10273,0,,,cash
T-002754,M-1036,2025-09-12,13575,1,30,44,late
T-002915,M-1039,2025-09-12,8215,0,,,cash
T-003026,M-1041,2025-09-12,22480,1,30,28,on_time
T-003715,M-1051,2025-09-12,6920,1,21,31,late
T-003719,M-1051,2025-09-12,8167,0,,,cash
T-000672,M-1008,2025-09-13,32166,1,30,33,late
T-000675,M-1008,2025-09-13,47216,0,,,cash
T-001165,M-1013,2025-09-13,14518,0,,,cash
T-001809,M-1022,2025-09-13,11930,0,,,cash
T-002647,M-1034,2025-09-13,17149,1,30,25,on_time
T-002648,M-1034,2025-09-13,17713,0,,,cash
T-003137,M-1043,2025-09-13,10997,0,,,cash
T-003204,M-1044,2025-09-13,2788,1,21,15,on_time
T-003577,M-1049,2025-09-13,11174,1,21,17,on_time
T-003716,M-1051,2025-09-13,9804,1,21,13,on_time
T-000009,M-1001,2025-09-14,19475,1,30,25,on_time
T-000492,M-1006,2025-09-14,21497,0,,,cash
T-000496,M-1006,2025-09-14,25286,0,,,cash
T-000865,M-1010,2025-09-14,28440,1,30,15,on_time
T-001060,M-1012,2025-09-14,49452,1,30,22,on_time
T-001312,M-1015,2025-09-14,27639,1,30,17,on_time
T-001746,M-1021,2025-09-14,27005,0,,,cash
T-001811,M-1022,2025-09-14,10909,0,,,cash
T-002038,M-1025,2025-09-14,35567,0,,,cash
T-002099,M-1026,2025-09-14,18977,1,30,26,on_time
T-002321,M-1029,2025-09-14,16130,1,30,25,on_time
T-003512,M-1048,2025-09-14,18473,1,21,27,late
T-003646,M-1050,2025-09-14,8055,0,,,cash
T-003770,M-1052,2025-09-14,7490,1,21,14,on_time
T-000678,M-1008,2025-09-15,33323,1,30,15,on_time
T-000869,M-1010,2025-09-15,14762,1,30,22,on_time
T-001878,M-1023,2025-09-15,20992,1,30,30,on_time
T-001882,M-1023,2025-09-15,13237,0,,,cash
T-002701,M-1035,2025-09-15,5352,0,,,cash
T-003135,M-1043,2025-09-15,8837,1,21,24,late
T-003284,M-1045,2025-09-15,10819,1,21,14,on_time
T-000004,M-1001,2025-09-16,7438,1,30,23,on_time
T-002177,M-1027,2025-09-16,17929,0,,,cash
T-002253,M-1028,2025-09-16,29166,1,30,15,on_time
T-002597,M-1033,2025-09-16,7690,1,30,22,on_time
T-002698,M-1035,2025-09-16,15166,1,30,15,on_time
T-003436,M-1047,2025-09-16,20268,1,21,15,on_time
T-003823,M-1053,2025-09-16,6680,0,,,cash
T-003939,M-1055,2025-09-16,10666,1,21,19,on_time
T-003998,M-1056,2025-09-16,6723,0,,,cash
T-000098,M-1002,2025-09-17,19206,1,30,30,on_time
T-000104,M-1002,2025-09-17,12943,0,,,cash
T-000300,M-1004,2025-09-17,25103,1,30,16,on_time
T-001168,M-1013,2025-09-17,10078,1,30,17,on_time
T-001237,M-1014,2025-09-17,10499,0,,,cash
T-001314,M-1015,2025-09-17,23545,1,30,16,on_time
T-002101,M-1026,2025-09-17,12894,0,,,cash
T-002175,M-1027,2025-09-17,23219,1,30,39,late
T-002596,M-1033,2025-09-17,13657,1,30,21,on_time
T-002810,M-1037,2025-09-17,9363,1,30,29,on_time
T-003027,M-1041,2025-09-17,16012,1,30,18,on_time
T-003207,M-1044,2025-09-17,5634,1,21,10,on_time
T-000206,M-1003,2025-09-18,70894,1,30,20,on_time
T-000392,M-1005,2025-09-18,26401,0,,,cash
T-000593,M-1007,2025-09-18,61447,0,,,cash
T-001313,M-1015,2025-09-18,18403,0,,,cash
T-001383,M-1016,2025-09-18,31278,1,30,44,late
T-001814,M-1022,2025-09-18,16945,1,30,27,on_time
T-002807,M-1037,2025-09-18,9278,1,30,52,late
T-002966,M-1040,2025-09-18,26877,1,30,28,on_time
T-003576,M-1049,2025-09-18,22718,1,21,46,late
T-003940,M-1055,2025-09-18,14958,0,,,cash
T-000299,M-1004,2025-09-19,48912,1,30,17,on_time
T-000589,M-1007,2025-09-19,31841,1,30,28,on_time
T-000674,M-1008,2025-09-19,9895,1,30,30,on_time
T-000680,M-1008,2025-09-19,29811,1,30,28,on_time
T-000772,M-1009,2025-09-19,49547,1,30,19,on_time
T-000963,M-1011,2025-09-19,33466,0,,,cash
T-001456,M-1017,2025-09-19,27625,1,30,15,on_time
T-001672,M-1020,2025-09-19,12090,0,,,cash
T-002537,M-1032,2025-09-19,7316,1,30,30,on_time
T-002646,M-1034,2025-09-19,18694,1,30,28,on_time
T-000003,M-1001,2025-09-20,22005,1,30,25,on_time
T-000099,M-1002,2025-09-20,21037,1,30,25,on_time
T-000387,M-1005,2025-09-20,28383,1,30,16,on_time
T-000679,M-1008,2025-09-20,27323,1,30,17,on_time
T-000778,M-1009,2025-09-20,62074,0,,,cash
T-000960,M-1011,2025-09-20,32573,0,,,cash
T-000967,M-1011,2025-09-20,42239,0,,,cash
T-002252,M-1028,2025-09-20,26950,0,,,cash
T-002534,M-1032,2025-09-20,7760,1,30,16,on_time
T-002755,M-1036,2025-09-20,11389,0,,,cash
T-003028,M-1041,2025-09-20,35233,0,,,cash
T-003279,M-1045,2025-09-20,4540,1,21,10,on_time
T-003362,M-1046,2025-09-20,7044,1,21,20,on_time
T-003433,M-1047,2025-09-20,13153,0,,,cash
T-003883,M-1054,2025-09-20,13322,1,21,33,late
T-000002,M-1001,2025-09-21,14947,0,,,cash
T-001670,M-1020,2025-09-21,21095,1,30,20,on_time
T-001879,M-1023,2025-09-21,26267,1,30,21,on_time
T-001880,M-1023,2025-09-21,31332,1,30,26,on_time
T-002535,M-1032,2025-09-21,6922,0,,,cash
T-002594,M-1033,2025-09-21,14198,1,30,27,on_time
T-002917,M-1039,2025-09-21,15532,0,,,cash
T-003138,M-1043,2025-09-21,16412,1,21,15,on_time
T-003361,M-1046,2025-09-21,9450,1,21,,default
T-003937,M-1055,2025-09-21,6180,1,21,,default
T-000207,M-1003,2025-09-22,51039,1,30,23,on_time
T-000390,M-1005,2025-09-22,13472,1,30,30,on_time
T-000394,M-1005,2025-09-22,25844,1,30,27,on_time
T-000491,M-1006,2025-09-22,15333,1,30,28,on_time
T-000673,M-1008,2025-09-22,18873,1,30,15,on_time
T-001063,M-1012,2025-09-22,28422,1,30,17,on_time
T-002399,M-1030,2025-09-22,19319,1,30,20,on_time
T-002808,M-1037,2025-09-22,15702,1,30,29,on_time
T-003077,M-1042,2025-09-22,18003,0,,,cash
T-000101,M-1002,2025-09-23,13767,1,30,30,on_time
T-000105,M-1002,2025-09-23,13850,1,30,19,on_time
T-000295,M-1004,2025-09-23,55175,1,30,27,on_time
T-001591,M-1019,2025-09-23,14080,0,,,cash
T-001813,M-1022,2025-09-23,4397,1,30,30,on_time
T-001959,M-1024,2025-09-23,37756,1,30,17,on_time
T-002037,M-1025,2025-09-23,21915,0,,,cash
T-002593,M-1033,2025-09-23,9600,0,,,cash
T-002759,M-1036,2025-09-23,6737,0,,,cash
T-003507,M-1048,2025-09-23,13903,0,,,cash
T-003510,M-1048,2025-09-23,9374,0,,,cash
T-003511,M-1048,2025-09-23,21400,1,21,12,on_time
T-003717,M-1051,2025-09-23,16261,1,21,13,on_time
T-003824,M-1053,2025-09-23,5312,1,21,36,late
T-003997,M-1056,2025-09-23,7969,1,21,27,late
T-000001,M-1001,2025-09-24,18552,0,,,cash
T-000965,M-1011,2025-09-24,45842,1,30,28,on_time
T-000966,M-1011,2025-09-24,67309,1,30,15,on_time
T-001056,M-1012,2025-09-24,47594,0,,,cash
T-001454,M-1017,2025-09-24,10153,0,,,cash
T-001592,M-1019,2025-09-24,28536,0,,,cash
T-001812,M-1022,2025-09-24,10783,1,30,16,on_time
T-001956,M-1024,2025-09-24,36151,1,30,28,on_time
T-002645,M-1034,2025-09-24,9688,1,30,25,on_time
T-002758,M-1036,2025-09-24,17223,1,30,29,on_time
T-002965,M-1040,2025-09-24,16051,1,30,18,on_time
T-003508,M-1048,2025-09-24,1192,1,21,7,on_time
T-000103,M-1002,2025-09-25,20244,0,,,cash
T-000489,M-1006,2025-09-25,6094,0,,,cash
T-000594,M-1007,2025-09-25,39480,0,,,cash
T-000676,M-1008,2025-09-25,29293,1,30,15,on_time
T-001309,M-1015,2025-09-25,4538,1,30,16,on_time
T-001384,M-1016,2025-09-25,36946,1,30,18,on_time
T-001526,M-1018,2025-09-25,12407,1,30,29,on_time
T-001590,M-1019,2025-09-25,24744,0,,,cash
T-002400,M-1030,2025-09-25,15831,1,30,27,on_time
T-003134,M-1043,2025-09-25,19195,1,21,29,late
T-003435,M-1047,2025-09-25,16750,1,21,8,on_time
T-003825,M-1053,2025-09-25,6479,1,21,,default
T-000298,M-1004,2025-09-26,50261,0,,,cash
T-000777,M-1009,2025-09-26,62627,1,30,25,on_time
T-001057,M-1012,2025-09-26,13719,1,30,24,on_time
T-001527,M-1018,2025-09-26,28789,1,30,23,on_time
T-001810,M-1022,2025-09-26,10810,1,30,28,on_time
T-001881,M-1023,2025-09-26,11576,1,30,15,on_time
T-002250,M-1028,2025-09-26,23577,0,,,cash
T-002324,M-1029,2025-09-26,7480,0,,,cash
T-003283,M-1045,2025-09-26,17649,1,21,11,on_time
T-003575,M-1049,2025-09-26,16610,1,21,12,on_time
T-003645,M-1050,2025-09-26,5697,1,21,45,late
T-000494,M-1006,2025-09-27,8478,1,30,28,on_time
T-000590,M-1007,2025-09-27,44732,1,30,25,on_time
T-001058,M-1012,2025-09-27,41944,1,30,18,on_time
T-001164,M-1013,2025-09-27,11010,0,,,cash
T-001385,M-1016,2025-09-27,52437,1,30,21,on_time
T-001744,M-1021,2025-09-27,20038,1,30,25,on_time
T-001958,M-1024,2025-09-27,38374,1,30,27,on_time
T-002249,M-1028,2025-09-27,10254,1,30,23,on_time
T-002474,M-1031,2025-09-27,23483,1,30,28,on_time
T-002866,M-1038,2025-09-27,10414,1,30,29,on_time
T-002867,M-1038,2025-09-27,14831,1,30,24,on_time
T-002914,M-1039,2025-09-27,16343,0,,,cash
T-002969,M-1040,2025-09-27,22728,1,30,46,late
T-003438,M-1047,2025-09-27,12088,1,21,30,late
T-003579,M-1049,2025-09-27,23122,1,21,12,on_time
T-003773,M-1052,2025-09-27,8698,1,21,36,late
T-000864,M-1010,2025-09-28,32542,1,30,23,on_time
T-000962,M-1011,2025-09-28,46232,0,,,cash
T-001059,M-1012,2025-09-28,30717,0,,,cash
T-001589,M-1019,2025-09-28,25469,1,30,22,on_time
T-001877,M-1023,2025-09-28,25410,0,,,cash
T-002036,M-1025,2025-09-28,9102,1,30,16,on_time
T-002538,M-1032,2025-09-28,5565,1,30,21,on_time
T-003996,M-1056,2025-09-28,6466,1,21,30,late
T-000773,M-1009,2025-09-29,59317,0,,,cash
T-000867,M-1010,2025-09-29,25882,1,30,28,on_time
T-001236,M-1014,2025-09-29,6414,1,30,25,on_time
T-001743,M-1021,2025-09-29,33255,1,30,18,on_time
T-001957,M-1024,2025-09-29,40817,1,30,28,on_time
T-002034,M-1025,2025-09-29,20204,1,30,30,on_time
T-002100,M-1026,2025-09-29,22737,1,30,27,on_time
T-002174,M-1027,2025-09-29,20357,1,30,29,on_time
T-002325,M-1029,2025-09-29,16364,1,30,19,on_time
T-002326,M-1029,2025-09-29,18598,1,30,27,on_time
T-002595,M-1033,2025-09-29,8184,1,30,26,on_time
T-003136,M-1043,2025-09-29,20424,1,21,16,on_time
T-003209,M-1044,2025-09-29,14593,1,21,7,on_time
T-003365,M-1046,2025-09-29,6683,0,,,cash
T-000112,M-1002,2025-09-30,33998,1,30,27,on_time
T-000113,M-1002,2025-09-30,28195,0,,,cash
T-000115,M-1002,2025-09-30,40951,0,,,cash
T-000304,M-1004,2025-09-30,41903,0,,,cash
T-000305,M-1004,2025-09-30,55280,0,,,cash
T-000400,M-1005,2025-09-30,17067,0,,,cash
T-000599,M-1007,2025-09-30,50067,1,30,28,on_time
T-000683,M-1008,2025-09-30,24458,0,,,cash
T-000785,M-1009,2025-09-30,31093,1,30,17,on_time
T-001461,M-1017,2025-09-30,38811,1,30,42,late
T-001596,M-1019,2025-09-30,16291,0,,,cash
T-001961,M-1024,2025-09-30,14860,0,,,cash
T-003082,M-1042,2025-09-30,15879,1,30,20,on_time
T-003442,M-1047,2025-09-30,18544,1,21,9,on_time
T-001316,M-1015,2025-10-01,22889,1,30,30,on_time
T-001320,M-1015,2025-10-01,28515,1,30,52,late
T-001389,M-1016,2025-10-01,15111,1,30,27,on_time
T-001530,M-1018,2025-10-01,19535,1,30,21,on_time
T-002761,M-1036,2025-10-01,58522,1,30,22,on_time
T-002869,M-1038,2025-10-01,10987,0,,,cash
T-003212,M-1044,2025-10-01,12660,1,21,11,on_time
T-000687,M-1008,2025-10-02,44706,1,30,27,on_time
T-000971,M-1011,2025-10-02,10520,1,30,22,on_time
T-001536,M-1018,2025-10-02,11976,1,30,15,on_time
T-001749,M-1021,2025-10-02,38335,1,30,26,on_time
T-002330,M-1029,2025-10-02,28129,1,30,28,on_time
T-002540,M-1032,2025-10-02,4471,1,30,16,on_time
T-002651,M-1034,2025-10-02,18483,1,30,23,on_time
T-003081,M-1042,2025-10-02,13864,1,30,29,on_time
T-000399,M-1005,2025-10-03,16123,1,30,16,on_time
T-001819,M-1022,2025-10-03,14609,1,30,17,on_time
T-002042,M-1025,2025-10-03,5330,1,30,27,on_time
T-002261,M-1028,2025-10-03,16497,1,30,28,on_time
T-002262,M-1028,2025-10-03,24106,1,30,24,on_time
T-002407,M-1030,2025-10-03,12223,0,,,cash
T-002541,M-1032,2025-10-03,20593,1,30,17,on_time
T-002704,M-1035,2025-10-03,8090,1,30,19,on_time
T-003586,M-1049,2025-10-03,18170,0,,,cash
T-000215,M-1003,2025-10-04,37813,1,30,23,on_time
T-001593,M-1019,2025-10-04,9221,1,30,27,on_time
T-001963,M-1024,2025-10-04,14480,0,,,cash
T-002480,M-1031,2025-10-04,8590,1,30,23,on_time
T-003030,M-1041,2025-10-04,19130,1,30,16,on_time
T-003367,M-1046,2025-10-04,4432,1,21,15,on_time
T-000014,M-1001,2025-10-05,20562,1,30,24,on_time
T-000108,M-1002,2025-10-05,26847,1,30,28,on_time
T-000114,M-1002,2025-10-05,16978,0,,,cash
T-000684,M-1008,2025-10-05,48084,1,30,19,on_time
T-001171,M-1013,2025-10-05,12865,1,30,22,on_time
T-001967,M-1024,2025-10-05,20630,1,30,26,on_time
T-002108,M-1026,2025-10-05,19744,0,,,cash
T-003080,M-1042,2025-10-05,17104,1,30,48,late
T-003287,M-1045,2025-10-05,8522,0,,,cash
T-003368,M-1046,2025-10-05,11422,1,21,17,on_time
T-003721,M-1051,2025-10-05,11194,1,21,13,on_time
T-000219,M-1003,2025-10-06,35235,1,30,26,on_time
T-000395,M-1005,2025-10-06,23684,1,30,28,on_time
T-000686,M-1008,2025-10-06,50082,0,,,cash
T-000874,M-1010,2025-10-06,22532,1,30,23,on_time
T-000974,M-1011,2025-10-06,59276,1,30,29,on_time
T-001067,M-1012,2025-10-06,27892,0,,,cash
T-001071,M-1012,2025-10-06,30608,1,30,17,on_time
T-001169,M-1013,2025-10-06,8882,1,30,34,late
T-001676,M-1020,2025-10-06,11647,1,30,52,late
T-001960,M-1024,2025-10-06,23135,1,30,19,on_time
T-002256,M-1028,2025-10-06,13523,1,30,17,on_time
T-002922,M-1039,2025-10-06,20675,0,,,cash
T-000010,M-1001,2025-10-07,36076,1,30,23,on_time
T-000216,M-1003,2025-10-07,31494,1,30,26,on_time
T-000218,M-1003,2025-10-07,32620,0,,,cash
T-000786,M-1009,2025-10-07,32910,1,30,26,on_time
T-001884,M-1023,2025-10-07,14524,1,30,24,on_time
T-002183,M-1027,2025-10-07,37322,0,,,cash
T-002542,M-1032,2025-10-07,13977,1,30,36,late
T-002702,M-1035,2025-10-07,11755,1,30,22,on_time
T-003513,M-1048,2025-10-07,22569,1,21,18,on_time
T-003826,M-1053,2025-10-07,5528,1,21,34,late
T-000011,M-1001,2025-10-08,36730,0,,,cash
T-000111,M-1002,2025-10-08,21802,0,,,cash
T-000873,M-1010,2025-10-08,20259,1,30,28,on_time
T-001246,M-1014,2025-10-08,14248,1,30,18,on_time
T-001962,M-1024,2025-10-08,13832,1,30,26,on_time
T-001966,M-1024,2025-10-08,9201,1,30,28,on_time
T-003941,M-1055,2025-10-08,14749,1,21,43,late
T-000401,M-1005,2025-10-09,25735,1,30,23,on_time
T-000497,M-1006,2025-10-09,40471,0,,,cash
T-000499,M-1006,2025-10-09,31998,1,30,17,on_time
T-001172,M-1013,2025-10-09,13765,1,30,15,on_time
T-001748,M-1021,2025-10-09,34440,1,30,25,on_time
T-002181,M-1027,2025-10-09,36785,1,30,26,on_time
T-002600,M-1033,2025-10-09,6591,0,,,cash
T-002924,M-1039,2025-10-09,10450,1,30,21,on_time
T-003144,M-1043,2025-10-09,17325,0,,,cash
T-003518,M-1048,2025-10-09,26198,0,,,cash
T-003884,M-1054,2025-10-09,21121,1,21,39,late
T-000016,M-1001,2025-10-10,23044,1,30,15,on_time
T-000211,M-1003,2025-10-10,43625,1,30,28,on_time
T-000685,M-1008,2025-10-10,56456,0,,,cash
T-000969,M-1011,2025-10-10,40480,1,30,25,on_time
T-002328,M-1029,2025-10-10,18938,1,30,20,on_time
T-002705,M-1035,2025-10-10,13317,1,30,16,on_time
T-002868,M-1038,2025-10-10,24719,1,30,28,on_time
T-002870,M-1038,2025-10-10,22401,1,30,22,on_time
T-003033,M-1041,2025-10-10,15576,0,,,cash
T-003083,M-1042,2025-10-10,16592,1,30,15,on_time
T-003213,M-1044,2025-10-10,25651,0,,,cash
T-003370,M-1046,2025-10-10,8533,1,21,12,on_time
T-003582,M-1049,2025-10-10,16472,0,,,cash
T-004001,M-1056,2025-10-10,5290,0,,,cash
T-000109,M-1002,2025-10-11,29038,1,30,18,on_time
T-000970,M-1011,2025-10-11,41832,1,30,30,on_time
T-000976,M-1011,2025-10-11,61856,0,,,cash
T-001244,M-1014,2025-10-11,7362,1,30,28,on_time
T-001317,M-1015,2025-10-11,19226,1,30,19,on_time
T-001595,M-1019,2025-10-11,21578,1,30,23,on_time
T-002039,M-1025,2025-10-11,28200,1,30,29,on_time
T-002259,M-1028,2025-10-11,16892,0,,,cash
T-002263,M-1028,2025-10-11,8661,1,30,30,on_time
T-002329,M-1029,2025-10-11,23335,1,30,19,on_time
T-002919,M-1039,2025-10-11,16082,0,,,cash
T-003142,M-1043,2025-10-11,5235,1,21,10,on_time
T-003215,M-1044,2025-10-11,29619,1,21,15,on_time
T-003371,M-1046,2025-10-11,10839,0,,,cash
T-003515,M-1048,2025-10-11,14735,1,21,37,late
T-003944,M-1055,2025-10-11,15296,1,21,7,on_time
T-000217,M-1003,2025-10-12,39146,0,,,cash
T-000302,M-1004,2025-10-12,59802,1,30,30,on_time
T-000306,M-1004,2025-10-12,32896,1,30,30,on_time
T-000597,M-1007,2025-10-12,50975,0,,,cash
T-001460,M-1017,2025-10-12,40596,1,30,26,on_time
T-001533,M-1018,2025-10-12,24205,1,30,19,on_time
T-001815,M-1022,2025-10-12,12121,1,30,24,on_time
T-001817,M-1022,2025-10-12,24254,1,30,22,on_time
T-002257,M-1028,2025-10-12,16894,0,,,cash
T-003084,M-1042,2025-10-12,18328,1,30,20,on_time
T-003143,M-1043,2025-10-12,12405,1,21,46,late
T-003583,M-1049,2025-10-12,13020,0,,,cash
T-003723,M-1051,2025-10-12,11935,0,,,cash
T-000015,M-1001,2025-10-13,6273,1,30,17,on_time
T-001534,M-1018,2025-10-13,22925,0,,,cash
T-001750,M-1021,2025-10-13,15334,0,,,cash
T-001887,M-1023,2025-10-13,6801,1,30,18,on_time
T-002103,M-1026,2025-10-13,23795,1,30,23,on_time
T-002105,M-1026,2025-10-13,24683,1,30,30,on_time
T-002107,M-1026,2025-10-13,21597,0,,,cash
T-002403,M-1030,2025-10-13,29268,0,,,cash
T-002601,M-1033,2025-10-13,13701,1,30,17,on_time
T-002921,M-1039,2025-10-13,11320,0,,,cash
T-003516,M-1048,2025-10-13,15462,1,21,16,on_time
T-003776,M-1052,2025-10-13,12000,1,21,30,late
